"";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct"
"god marin";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";56;143,7;0,61;93,6;0,29;30;42;9;3;2;"2";"4";"0.1";"0.3";"0.0714285714285714";"0.5";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";59;186,3;0,69;116,4;0,31;37;48;19;8;3;"0";"5";"0.216216216216216";"0.513513513513513";"0.0847457627118644";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";118;133;0,53;86,1;0,25;50;95;25;5;17;"4";"18";"0.1";"0.5";"0.152542372881356";"0.222222222222222";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Little Frog";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";151;141,9;0,64;102;0,16;69;105;29;8;18;"6";"29";"0.115942028985507";"0.420289855072464";"0.19205298013245";"0.206896551724138";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";98;126;0,52;85,3;0,2;40;82;19;4;6;"0";"18";"0.1";"0.475";"0.183673469387755";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ranger Rosa";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";33;135,5;0,52;78,8;0,18;16;28;4;0;6;"1";"8";"0";"0.25";"0.242424242424242";"0.125";"Sova";33;97,5;0,48;67,1;0,21;9;27;6;2;0;"0";"6";"0.222222222222222";"0.666666666666667";"0.181818181818182";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9ianny";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";65;214,7;0,75;149;0,16;44;44;21;10;13;"0";"5";"0.227272727272727";"0.477272727272727";"0.0769230769230769";"0";"Kay/O";30;132;0,67;98,4;0,13;13;22;17;1;3;"1";"4";"0.0769230769230769";"1.30769230769231";"0.133333333333333";"0.25";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";274;239,2;0,69;157;0,18;213;205;65;38;46;"1";"17";"0.178403755868545";"0.305164319248826";"0.062043795620438";"0.0588235294117647";"Reyna";23;251;0,78;170,7;0,12;17;21;8;4;2;"0";"5";"0.235294117647059";"0.470588235294118";"0.217391304347826";"0";"Sage";15;193;0,8;130,5;0,24;11;7;8;2;3;"1";"1";"0.181818181818182";"0.727272727272727";"0.0666666666666667";"1";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"almndra";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";146;168,7;0,68;117,6;0,27;86;102;50;5;10;"3";"13";"0.0581395348837209";"0.581395348837209";"0.089041095890411";"0.230769230769231";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";86;206;0,67;140,9;0,17;59;68;16;9;5;"3";"13";"0.152542372881356";"0.271186440677966";"0.151162790697674";"0.230769230769231";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";316;161,1;0,76;102,5;0,2;176;203;128;13;17;"3";"30";"0.0738636363636364";"0.727272727272727";"0.0949367088607595";"0.1";"Skye";49;191,3;0,76;129,4;0,2;38;31;16;0;3;"1";"5";"0";"0.421052631578947";"0.102040816326531";"0.2";"Sova";126;166;0,68;117,8;0,22;71;78;34;2;7;"5";"24";"0.028169014084507";"0.47887323943662";"0.19047619047619";"0.208333333333333";"Viper";56;154,7;0,7;99,1;0,23;30;42;19;8;6;"0";"7";"0.266666666666667";"0.633333333333333";"0.125";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cAMiss";"Astra";246;149,9;0,7;94,5;0,11;136;162;70;16;17;"7";"26";"0.117647058823529";"0.514705882352941";"0.105691056910569";"0.269230769230769";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";24;100;0,54;70;0,05;7;17;10;1;5;"0";"2";"0.142857142857143";"1.42857142857143";"0.0833333333333333";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";17;157;0,71;78,9;0,16;11;13;3;1;3;"0";"0";"0.0909090909090909";"0.272727272727273";"0";"0";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Carolina";"Astra";20;214;0,65;132,1;0,25;15;14;4;1;2;"0";"2";"0.0666666666666667";"0.266666666666667";"0.1";"0";"Breach";90;167,3;0,7;106,8;0,22;56;58;19;4;3;"3";"15";"0.0714285714285714";"0.339285714285714";"0.166666666666667";"0.2";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";77;213,7;0,73;141,5;0,21;58;53;37;5;3;"2";"17";"0.0862068965517241";"0.637931034482759";"0.220779220779221";"0.117647058823529";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";46;204,7;0,65;143,1;0,11;28;32;14;3;5;"0";"4";"0.107142857142857";"0.5";"0.0869565217391304";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";272;213,3;0,76;132,2;0,19;198;166;126;15;13;"5";"31";"0.0757575757575758";"0.636363636363636";"0.113970588235294";"0.161290322580645";"Sova";103;178,3;0,65;126,3;0,18;62;75;29;4;4;"7";"28";"0.0645161290322581";"0.467741935483871";"0.271844660194175";"0.25";"Viper";21;178;0,62;107,6;0,18;13;17;5;0;1;"1";"4";"0";"0.384615384615385";"0.19047619047619";"0.25";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ClaW";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";80;170;0,75;110,4;0,25;46;58;21;4;6;"1";"7";"0.0869565217391304";"0.456521739130435";"0.0875";"0.142857142857143";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";61;198,3;0,66;132,3;0,24;41;49;14;5;8;"2";"6";"0.121951219512195";"0.341463414634146";"0.0983606557377049";"0.333333333333333";"Kay/O";217;150,6;0,71;105,5;0,21;112;154;90;11;14;"4";"23";"0.0982142857142857";"0.803571428571429";"0.105990783410138";"0.173913043478261";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";18;89;0,44;64,3;0,2;5;16;1;0;2;"0";"3";"0";"0.2";"0.166666666666667";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";160;195,6;0,71;133,1;0,16;104;118;37;15;14;"2";"16";"0.144230769230769";"0.355769230769231";"0.1";"0.125";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";142;187,9;0,72;125,6;0,2;90;97;48;6;7;"5";"24";"0.0666666666666667";"0.533333333333333";"0.169014084507042";"0.208333333333333";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"consu";"Astra";385;258,5;0,8;163;0,17;355;225;135;42;23;"1";"40";"0.11830985915493";"0.380281690140845";"0.103896103896104";"0.025";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";89;242,4;0,89;159,3;0,17;73;46;58;7;2;"0";"3";"0.0958904109589041";"0.794520547945205";"0.0337078651685393";"0";"Chamber";28;195;0,54;112,8;0,13;19;22;5;7;9;"1";"2";"0.368421052631579";"0.263157894736842";"0.0714285714285714";"0.5";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";51;224,3;0,86;143,9;0,14;42;25;33;3;2;"0";"1";"0.0714285714285714";"0.785714285714286";"0.0196078431372549";"0";"Killjoy";115;224,2;0,78;149,2;0,14;84;74;33;13;11;"2";"6";"0.154761904761905";"0.392857142857143";"0.0521739130434783";"0.333333333333333";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";219;207,3;0,73;134,8;0,14;156;151;74;22;15;"3";"22";"0.141025641025641";"0.474358974358974";"0.100456621004566";"0.136363636363636";"Phoenix";334;249,1;0,74;163;0,13;284;241;100;46;37;"6";"40";"0.161971830985915";"0.352112676056338";"0.119760479041916";"0.15";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";188;276,9;0,8;163;0,13;180;137;43;36;14;"2";"16";"0.2";"0.238888888888889";"0.0851063829787234";"0.125";"Sage";238;207,2;0,75;125,5;0,14;177;145;87;25;15;"6";"23";"0.141242937853107";"0.491525423728814";"0.0966386554621849";"0.260869565217391";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";343;238,9;0,76;150,5;0,16;281;206;127;30;19;"5";"32";"0.106761565836299";"0.451957295373665";"0.0932944606413994";"0.15625";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"covinhas";"Astra";50;161;0,62;105,3;0,18;26;35;12;3;6;"1";"5";"0.115384615384615";"0.461538461538462";"0.1";"0.2";"Breach";205;168,6;0,71;112,7;0,16;123;144;59;10;17;"5";"28";"0.0813008130081301";"0.479674796747967";"0.136585365853659";"0.178571428571429";"Brimstone";16;141;0,69;95,8;0,22;5;15;7;2;2;"0";"1";"0.4";"1.4";"0.0625";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";224;186,3;0,78;116,3;0,18;141;155;108;18;19;"7";"28";"0.127659574468085";"0.765957446808511";"0.125";"0.25";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";45;226;0,78;152,2;0,26;33;27;19;5;3;"0";"6";"0.151515151515152";"0.575757575757576";"0.133333333333333";"0";"Killjoy";54;163;0,7;113,4;0,12;30;36;9;2;5;"1";"11";"0.0666666666666667";"0.3";"0.203703703703704";"0.0909090909090909";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";42;146,5;0,6;82,4;0,14;22;35;11;3;6;"0";"3";"0.136363636363636";"0.5";"0.0714285714285714";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";61;320;0,8;190,9;0,13;68;45;20;10;9;"2";"5";"0.147058823529412";"0.294117647058824";"0.0819672131147541";"0.4";"Reyna";15;171;0,53;121;0,17;7;14;5;4;4;"0";"1";"0.571428571428571";"0.714285714285714";"0.0666666666666667";"0";"Sage";317;173,4;0,71;108,6;0,18;185;231;128;21;27;"7";"32";"0.113513513513514";"0.691891891891892";"0.100946372239748";"0.21875";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";458;192,7;0,7;131,1;0,18;300;330;143;31;31;"8";"59";"0.103333333333333";"0.476666666666667";"0.12882096069869";"0.135593220338983";"Viper";201;161,8;0,67;109,2;0,2;104;148;59;16;14;"3";"33";"0.153846153846154";"0.567307692307692";"0.164179104477612";"0.0909090909090909";"Yoru";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
