"";"Match Id";"Match day of the week";"Match day of the month";"Match month";"Match year";"Match Name";"Match Stage";"Match Type";"Match Time";"Match Score Type";"Match Note";"Team1";"Score";"Elo Number";"Team2";"Score.1";"Elo Number.1";"Betting line"
"11273";6;"Saturday";2;"5";2020;"Valhalla Invitational";"Week 1";"Group A";"10:30 PM IST";"final";"Bo1";"Obey Alliance";"0";NA;"Orgless";"1";NA;NA
"13678";7;"Saturday";2;"5";2020;"Valhalla Invitational";"Week 1";"Group A";"10:30 PM IST";"final";"Bo1";"smoke";"1";NA;"Last Minute Heroes";"0";NA;NA
"15176";8;"Saturday";2;"5";2020;"Valhalla Invitational";"Week 1";"Group A";"11:30 PM IST";"final";"Bo1";"smoke";"1";NA;"Orgless";"0";NA;NA
"15979";9;"Saturday";2;"5";2020;"Valhalla Invitational";"Week 1";"Group A";"11:30 PM IST";"final";"Bo1";"Obey Alliance";"0";NA;"Last Minute Heroes";"1";NA;NA
"1";10;"Sunday";3;"5";2020;"Valhalla Invitational";"Week 1";"Group A";"12:30 AM IST";"final";"Bo1";"smoke";"1";NA;"Obey Alliance";"0";NA;NA
"1131";11;"Sunday";3;"5";2020;"Valhalla Invitational";"Week 1";"Group A";"12:30 AM IST";"final";"Bo1";"Orgless";"0";NA;"Last Minute Heroes";"1";NA;NA
"1705";12;"Sunday";3;"5";2020;"Valhalla Invitational";"Week 1";"Group B";"12:30 AM IST";"final";"Bo1";"Highground";"1";NA;"JSD";"0";NA;NA
"2313";13;"Sunday";3;"5";2020;"Valhalla Invitational";"Week 1";"Group B";"12:30 AM IST";"final";"Bo1";"Dignitas";"0";NA;"Whatever Works";"1";NA;NA
"2739";14;"Saturday";2;"5";2020;"Valhalla Invitational";"Week 1";"Group B";"11:30 PM IST";"final";"Bo1";"Whatever Works";"0";NA;"JSD";"1";NA;NA
"3336";15;"Saturday";2;"5";2020;"Valhalla Invitational";"Week 1";"Group B";"11:30 PM IST";"final";"Bo1";"Dignitas";"0";NA;"Highground";"1";NA;NA
"3827";16;"Saturday";2;"5";2020;"Valhalla Invitational";"Week 1";"Group B";"10:30 PM IST";"final";"Bo1";"Whatever Works";"0";NA;"Highground";"1";NA;NA
"4186";17;"Saturday";2;"5";2020;"Valhalla Invitational";"Week 1";"Group B";"10:30 PM IST";"final";"Bo1";"Dignitas";"1";NA;"JSD";"0";NA;NA
"4471";18;"Sunday";3;"5";2020;"Valhalla Invitational";"Week 1";"Playoffs";"10:30 PM IST";"final";"Bo3";"smoke";"2";NA;"Whatever Works";"0";NA;NA
"4782";19;"Sunday";3;"5";2020;"Valhalla Invitational";"Week 1";"Playoffs";"10:30 PM IST";"final";"Bo3";"Highground";"2";NA;"Last Minute Heroes";"0";NA;NA
"4974";20;"Monday";4;"5";2020;"Valhalla Invitational";"Week 1";"Playoffs";"2:30 AM IST";"final";"Bo3";"smoke";"2";NA;"Highground";"1";NA;NA
"5130";21;"Monday";4;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Upper Quarterfinals";"10:30 PM IST";"final";"Bo3";"Gen.G";"2";NA;"Prospects";"0";NA;NA
"5402";22;"Monday";4;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Upper Quarterfinals";"10:30 PM IST";"final";"Bo3";"mouseSpaz";"2";NA;"Team Shroud";"0";NA;NA
"5699";23;"Monday";4;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Upper Quarterfinals";"10:30 PM IST";"final";"Bo3";"Sentinels";"2";NA;"Team Sonii";"0";NA;NA
"6030";24;"Monday";4;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Upper Quarterfinals";"10:30 PM IST";"final";"Bo3";"T1";"2";NA;"Team Kurt";"0";NA;NA
"6313";25;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Upper Semifinals";"12:30 AM IST";"final";"Bo3";"Gen.G";"0";NA;"mouseSpaz";"0";NA;NA
"6508";26;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Upper Semifinals";"12:30 AM IST";"final";"Bo3";"Sentinels";"0";NA;"T1";"2";NA;NA
"6654";27;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Lower Round 1";"12:30 AM IST";"final";"Bo1";"Prospects";"0";NA;"Team Shroud";"1";NA;NA
"6815";28;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Lower Round 1";"12:30 AM IST";"final";"Bo1";"Team Sonii";"1";NA;"Team Kurt";"0";NA;NA
"7180";29;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Lower Round 2";"2:30 AM IST";"final";"Bo1";"mouseSpaz";"1";NA;"Team Sonii";"0";NA;NA
"7407";30;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Lower Round 2";"2:30 AM IST";"final";"Bo1";"Sentinels";"0";NA;"Team Shroud";"1";NA;NA
"7543";31;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Upper Final";"2:30 AM IST";"final";"Bo3";"Gen.G";"2";NA;"T1";"0";NA;NA
"7687";32;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Lower Round 3";"3:30 AM IST";"final";"Bo1";"Team Shroud";"0";NA;"mouseSpaz";"1";NA;NA
"7734";33;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Lower Final";"4:30 AM IST";"final";"Bo1";"T1";"1";NA;"mouseSpaz";"0";NA;NA
"7900";34;"Tuesday";5;"5";2020;"T1 x Nerd Street Gamers Invitational";"Tournament";"Grand Final";"5:30 AM IST";"final";"Bo3";"Gen.G";"2";NA;"T1";"1";NA;NA
"9057";44;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Round of 16";"6:00 PM IST";"final";"Bo1";"fish123";"1";1606;"9XL";"0";1606;NA
"9190";45;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Round of 16";"6:00 PM IST";"final";"Bo1";"reserv";"0";NA;"HypHypHyp";"1";NA;NA
"9272";46;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Round of 16";"6:00 PM IST";"final";"Bo1";"IDDQD v2";"0";NA;"StartedFromCS";"1";NA;NA
"9367";47;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Round of 16";"6:00 PM IST";"final";"Bo1";"Prodigy";"1";NA;"Valorando";"0";NA;NA
"9592";48;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Round of 16";"6:00 PM IST";"final";"Bo1";"LEMONn";"1";NA;"OldTownRoad";"0";NA;NA
"9772";49;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Round of 16";"6:00 PM IST";"final";"Bo1";"TBD";"0";NA;"Royals";"1";NA;NA
"10075";50;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Round of 16";"6:00 PM IST";"final";"Bo1";"TooGoodForLan";"1";NA;"Ferrari Peek";"0";NA;NA
"10454";51;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Round of 16";"6:00 PM IST";"final";"Bo1";"TBD";"0";NA;"BlackBelts";"1";NA;NA
"10679";52;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Quarterfinals";"7:30 PM IST";"final";"Bo1";"fish123";"1";NA;"HypHypHyp";"0";NA;NA
"10755";53;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Quarterfinals";"7:30 PM IST";"final";"Bo1";"StartedFromCS";"0";NA;"Prodigy";"1";NA;NA
"10806";54;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Quarterfinals";"7:30 PM IST";"final";"Bo1";"LEMONn";"0";NA;"Royals";"1";NA;NA
"10885";55;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Quarterfinals";"7:30 PM IST";"final";"Bo1";"TooGoodForLan";"1";NA;"BlackBelts";"0";NA;NA
"10978";56;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Semifinals";"8:30 PM IST";"final";"Bo1";"fish123";"0";NA;"Prodigy";"1";NA;NA
"11076";57;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Semifinals";"9:20 PM IST";"final";"Bo1";"Royals";"0";NA;"TooGoodForLan";"1";NA;NA
"11143";58;"Friday";8;"5";2020;"Fnatic Proving Grounds";"Tournament";"Grand Final";"10:30 PM IST";"final";"Bo3";"Prodigy";"2";NA;"TooGoodForLan";"0";NA;NA
"11274";60;"Saturday";9;"5";2020;"VALORANT Academy NA - Open Series";"Week 3";"Semifinals";"4:30 AM IST";"final";"Bo1";"Chaos Injected";"0";NA;"TheLateBoomers";"0";NA;NA
"11485";61;"Saturday";9;"5";2020;"VALORANT Academy NA - Open Series";"Week 3";"Semifinals";"4:30 AM IST";"final";"Bo1";"All Aim No Brain";"0";NA;"Prospects";"0";NA;NA
