Match Id;Match Name;Match Stage;Match Type;Match Date - Weekday;Match Date - Month;Match Date - Day of the Month;Match Date - Year;Match Time;Match Score Type;Match Note;Team1;Score - Team1;Elo Rating - Team1;Team2;Score - Team2;Elo Rating - Team2;Betting line
25576;Strike Arabia Championship: Season 2;GCC and Iraq;Grand Final;Sunday;July;11;2021;9:30 PM IST;final;Bo5;YaLLa Esports;3;[1663];ArchNemesis;0;[1548];YaLLa Esports $111 1.11
107742;Champions Tour North America Stage 2: Challengers;Playoffs;Lower Bracket Finals;Sunday;June;26;2022;1:30 AM IST;final;Bo5;XSET;3;[2026];FaZe Clan;1;[1993];XSET $141 1.41
103018;Champions Tour Thailand Stage 2: Challengers;Playoffs;Grand Final;Sunday;May;29;2022;5:40 PM IST;final;Bo5;XERXIA Esports;3;[1991];FW Esports;1;[1649];XERXIA Esports 1.14    vs    5.19 FW Esports
21551;Oceania Tour: Stage 02;Finals;Grand Final;Sunday;June;6;2021;11:00 AM IST;final;Bo5;Wildcard Gaming;3;[1694];ORDER;0;[1814];Wildcard Gaming $1429 14.29
29643;K&H Magyar Nemzeti E-sport Bajnokság #3;Playoffs;Grand Finals;Sunday;September;26;2021;8:30 PM IST;final;Bo5;WiLD MultiGaming;3;[1643];iPon Esport;2;[1593];WiLD MultiGaming $187 1.87
22011;Liga Movistar - Fibra Pro Shot;Playoffs;Bronze Final;Wednesday;September;22;2021;3:30 AM IST;final;Bo3;Wanderers Esports;3;[1471];Movistar Optix;1;[1538];Wanderers Esports $211 2.11
30603;Champions Tour Korea Stage 3: Challengers;Playoffs;Grand Final;Sunday;August;15;2021;1:30 PM IST;final;Bo5;Vision Strikers;3;[1974];F4Q;1;[1743];Vision Strikers $179 1.79
130953;Skyesports Pro Invitational 2.0;Playoffs;Grand Final;Tuesday;August;30;2022;1:00 PM IST;final;Bo5;Velocity Gaming;3;[1849];Enigma Gaming;2;[1825];Velocity Gaming $164 1.64
21756;Rooter Rise of Legends;Playoffs;Bronze Final;Wednesday;June;9;2021;6:05 PM IST;final;Bo5;Velocity Gaming;3;[1695];Godlike Esports;2;[1581];Velocity Gaming $154 1.54
47432;Amazon Great Indian Festival - Championship;Playoffs;Grand Final;Tuesday;November;2;2021;6:00 PM IST;final;Bo5;Velocity Gaming;3;[1866];Enigma Gaming;1;[1651];Velocity Gaming $120 1.20
58492;Esportz Premier Series;Playoffs;Grand Final;Friday;December;10;2021;12:00 PM IST;final;Bo5;Velocity Gaming;3;[1864];Enigma Gaming;2;[1697];Velocity Gaming $118 1.18
97883;The Esports Club Challenger Series 7;Playoffs;Grand Final;Sunday;May;8;2022;5:00 PM IST;final;Bo5;Velocity Gaming;3;[1787];Revenant Esports;1;[1611];Velocity Gaming $115 1.15
42543;The Esports Club Gauntlet - Season 2;Playoffs;Grand Final;Sunday;October;3;2021;6:30 PM IST;final;Bo5;Velocity Gaming;3;[1817];Team XO;1;[1645];Velocity Gaming $107 1.07
50150;ICEBOX Northern Classic;Playoffs;Grand Final;Sunday;November;21;2021;7:30 PM IST;final;Bo5;UCAM Tokiers;3;[1725];KOVA;1;[1698];UCAM Tokiers $175 1.75
124598;MCT Premiership S3;Playoffs;Grand Final;Tuesday;August;30;2022;1:30 AM IST;final;Bo5;TSM;3;[1881];City Boys;1;[1836];TSM $126 1.26
29258;Champions Tour North America Stage 3: Challengers 2;Main Event;Grand Final;Monday;August;2;2021;12:30 AM IST;final;Bo5;TSM;3;[1871];FaZe Clan;1;[1894];TSM $101 1.01
27497;ImbaTV Fearless Invitational Cup;Main Event;Grand Final;Sunday;July;25;2021;2:30 PM IST;final;Bo5;Totoro Gaming;3;[1599];KONE eSC;1;[1585];Totoro Gaming $160 1.60
77798;Champions Tour North America Stage 1: Challengers;Main Event;Lower Final;Sunday;March;27;2022;1:30 AM IST;final;Bo5;The Guard;3;;Cloud9;0;;The Guard $228 2.28
16846;All Stars Cup - Season 1;Tournament;Grand Final;Tuesday;May;11;2021;3:30 AM IST;final;Bo5;TERROR.NET;3;[1624];paiN Gaming;0;[1607];TERROR.NET $159 1.59
22811;Aorus League Brazil #4;Main Event;Grand Final;Saturday;June;26;2021;3:30 AM IST;final;Bo5;TERROR.NET;3;[1673];Rise Gaming;1;[1555];TERROR.NET $133 1.33
98965;Valorant Regional League East: Surge - Stage 2;Playoffs;Grand Final;Sunday;July;3;2022;8:30 PM IST;final;Bo5;TENSTAR;3;[1635];Diamant Esports;2;[1575];TENSTAR $123 1.23
110913;Valorant Regional League France: Revolution - Stage 2;Playoffs;Grand Final;Sunday;July;3;2022;9:30 PM IST;final;Bo5;Team Vitality;3;[1654];MAD Lions;0;[1853];Team Vitality $256 2.56
51082;Valorant Open Tour France: Main Event;Main Event;Semifinals;Sunday;November;21;2021;10:30 PM IST;final;Bo5;Team Vitality;3;[1758];Team BDS;2;[1743];Team Vitality $193 1.93
109908;Valorant Regional League France: Revolution - Stage 2;Playoffs;Semifinals;Saturday;July;2;2022;9:30 PM IST;final;Bo5;Team Vitality;3;[1638];Karmine Corp;2;[1593];Team Vitality $136 1.36
17755;Champions Tour Brazil Stage 2: Challengers Finals;Main Event;Grand Final;Monday;May;10;2021;1:30 AM IST;final;Bo5;Team Vikings;3;[1889];Sharks Esports;1;[1792];Team Vikings $101 1.01
103226;Champions Tour Philippines Stage 2: Challengers;Playoffs;Grand Final;Sunday;May;29;2022;10:30 AM IST;final;Bo5;Team Secret;3;[1791];Oasis Gaming;1;[1668];Team Secret $126 1.26
51962;ESTAZ Valorant Elite League;Playoffs;Semifinals;Thursday;December;16;2021;10:45 PM IST;final;Bo5;Team RA'AD;3;[1726];Team Majesty;1;[1622];Team RA'AD $129 1.29
44023;Beloud Cup #10;Tournament;Grand Final;Sunday;October;10;2021;9:00 PM IST;final;Bo5;Team Queso;3;[1570];Anonymo Mentos;0;[1511];Team Queso $155 1.55
108076;Protocolo: Gêneses 2022;Main Event;Grand Final;Saturday;July;9;2022;9:30 PM IST;final;Bo5;Team Liquid Brazil;3;[1900];Gamelanders Purple;0;[1711];Team Liquid Brazil $102 1.02
49281;Red Bull Home Ground #2;Playoffs;Grand Final;Sunday;November;7;2021;10:50 PM IST;final;Bo5;Team Liquid;3;[2075];Acend;1;[2036];Team Liquid $181 1.81
28919;Champions Tour Europe Stage 3: Challengers 2;Main Event;Lower Final;Saturday;July;31;2021;6:30 PM IST;final;Bo5;Team Liquid;3;[1910];FNATIC;2;[1879];Team Liquid $171 1.71
16836;Champions Tour Stage 2: EMEA Challengers Playoffs;Main Event;Grand Finals;Sunday;May;2;2021;8:30 PM IST;final;Bo5;Team Liquid;3;[1913];FNATIC;2;[1918];Team Liquid $145 1.45
42205;Champions Tour EMEA: Last Chance Qualifier;Main Event;Grand Final;Sunday;October;17;2021;8:30 PM IST;final;Bo5;Team Liquid;3;[1999];Guild Esports;1;[1924];Team Liquid $138 1.38
